city,date,riskScore,riskLevel
Bengaluru,2025-08-24,17.539822903624895,Low
Bengaluru,2025-08-24,24.582222912948268,Low
Bengaluru,2025-08-24,24.30153361574952,Low
Bengaluru,2025-08-25,21.89410992860296,Low
Bengaluru,2025-08-25,24.74759331071246,Low
Bengaluru,2025-08-25,26.580143418252348,Low
Bengaluru,2025-08-26,22.923372413745078,Low
Bengaluru,2025-08-26,23.69157968114893,Low
Bengaluru,2025-08-26,22.97320782410847,Low
Bengaluru,2025-08-27,21.542089140364055,Low
Bengaluru,2025-08-27,22.644436074950747,Low
Bengaluru,2025-08-27,26.070617142330292,Low
Bengaluru,2025-08-28,23.26215021815922,Low
Bengaluru,2025-08-28,23.50926692216001,Low
Bengaluru,2025-08-28,23.83882185202056,Low
Bengaluru,2025-08-29,24.90840515557619,Low
Bengaluru,2025-08-29,25.311590049650697,Low
Bengaluru,2025-08-29,25.74294523100015,Low
Bengaluru,2025-08-30,22.536759310070536,Low
Bengaluru,2025-08-30,22.883814856457242,Low
Bengaluru,2025-08-30,22.59615935873856,Low
Bengaluru,2025-08-31,23.089906193921088,Low
Bengaluru,2025-08-31,25.922631280449835,Low
Bengaluru,2025-08-31,24.607044322506482,Low
Bengaluru,2025-09-01,22.56799876213495,Low
Bengaluru,2025-09-01,21.66814328235887,Low
Bengaluru,2025-09-01,24.49472497102552,Low
Bengaluru,2025-09-02,22.730293441392,Low
Bengaluru,2025-09-02,23.08499730985801,Low
Bengaluru,2025-09-02,23.517134774795394,Low
Bengaluru,2025-09-03,23.44823080010115,Low
Bengaluru,2025-09-03,24.599441383852486,Low
Bengaluru,2025-09-03,22.08419807599595,Low
Bengaluru,2025-09-04,21.13445267070228,Low
Bengaluru,2025-09-04,22.037508477077857,Low
Bengaluru,2025-09-04,22.574704978104045,Low
Bengaluru,2025-09-05,23.646758758061786,Low
Bengaluru,2025-09-05,23.521988280608696,Low
Bengaluru,2025-09-05,25.634502197682316,Low
Bengaluru,2025-09-06,20.470665530486976,Low
Bengaluru,2025-09-06,26.079587813790894,Low
Bengaluru,2025-09-06,23.976715267100168,Low
Bengaluru,2025-09-07,22.87971917133597,Low
Bengaluru,2025-09-07,23.486578203140112,Low
Bengaluru,2025-09-07,22.08926118508709,Low
Bengaluru,2025-09-08,19.13491228613578,Low
Bengaluru,2025-09-08,22.834915581524413,Low
Bengaluru,2025-09-08,23.13278163028678,Low
Bengaluru,2025-09-09,22.160213979021414,Low
Bengaluru,2025-09-09,26.47290982602879,Low
Bengaluru,2025-09-09,24.457964805210914,Low
Bengaluru,2025-09-10,21.506554765707286,Low
Bengaluru,2025-09-10,22.76913126463515,Low
Bengaluru,2025-09-10,24.754888869354808,Low
